GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
7448	0.00854	0.00000403	0.175	-4.609799	-0.806688	6199.25	VTN	vitronectin
9592	0.05702	0.00010763	0.231	3.872713	0.895055	357.16	IER2	immediate early response 2
9383	0.05702	0.00009783	0.799	3.895918	3.112121	15.9	TSIX	TSIX transcript, XIST antisense RNA
7503	0.05702	0.00009783	0.799	3.895918	3.112121	15.9	XIST	X inactive specific transcript
1843	0.09387	0.00022149	0.31	3.693158	1.146372	1869.37	DUSP1	dual specificity phosphatase 1
1196	0.12457	0.00045992	0.23	3.503073	0.806341	261.96	CLK2	CDC like kinase 2
6348	0.12457	0.00042959	0.36	3.521202	1.269026	416.75	CCL3	C-C motif chemokine ligand 3
811	0.12457	0.00047032	0.188	-3.497117	-0.65713	8537.34	CALR	calreticulin
1191	0.13521	0.00057427	0.229	-3.443485	-0.786907	1656	CLU	clusterin
8824	0.16372	0.00077264	0.229	-3.362414	-0.769617	592.5	CES2	carboxylesterase 2
1503	0.2246	0.00116594	0.188	3.247083	0.612022	506.49	CTPS1	CTP synthase 1
1429	0.25823	0.00332679	0.202	2.935809	0.594195	1034.24	CRYZ	crystallin zeta
6775	0.25823	0.00365594	0.413	2.906417	1.200488	67.19	STAT4	signal transducer and activator of transcription 4
6696	0.25823	0.00355296	0.387	-2.915345	-1.127746	298.92	SPP1	secreted phosphoprotein 1
3107	0.25823	0.00335588	0.245	-2.933107	-0.719764	377.37	HLA-C	major histocompatibility complex, class I, C
3303	0.25823	0.00280341	0.347	2.988511	1.036486	135.56	HSPA1A	heat shock protein family A (Hsp70) member 1A
7422	0.25823	0.0014806	0.168	3.178458	0.533576	1073.4	VEGFA	vascular endothelial growth factor A
221357	0.25823	0.0021483	0.393	3.068925	1.206654	307.37	GSTA5	glutathione S-transferase alpha 5
5796	0.25823	0.00281244	0.331	-2.987528	-0.987837	108.35	PTPRK	protein tyrosine phosphatase receptor type K
948	0.25823	0.00342991	0.307	-2.926326	-0.899409	1395.46	CD36	CD36 molecule
9988	0.25823	0.00353558	0.48	2.916874	1.399129	32.59	DMTF1	cyclin D binding myb like transcription factor 1
1021	0.25823	0.0034033	0.205	2.928748	0.599422	313.4	CDK6	cyclin dependent kinase 6
84909	0.25823	0.00201071	0.436	3.088646	1.347709	51.77	AOPEP	aminopeptidase O (putative)
143279	0.25823	0.00289868	0.404	2.978283	1.201974	49.04	HECTD2	HECT domain E3 ubiquitin protein ligase 2
728658	0.25823	0.00312373	0.385	-2.955292	-1.13832	55.98	RPL13AP5	ribosomal protein L13a pseudogene 5
25987	0.25823	0.00308186	0.211	2.959452	0.623305	1424.99	TSKU	tsukushi, small leucine rich proteoglycan
2	0.25823	0.00223947	0.239	-3.056487	-0.73155	9852.04	A2M	alpha-2-macroglobulin
596	0.25823	0.00228664	0.783	-3.050233	-2.387895	18.81	BCL2	BCL2 apoptosis regulator
348	0.25823	0.00210452	0.197	-3.075072	-0.604702	8339.98	APOE	apolipoprotein E
3251	0.25823	0.00167974	0.26	3.141693	0.817532	126.25	HPRT1	hypoxanthine phosphoribosyltransferase 1
374	0.2614	0.00386514	0.523	2.888963	1.512137	46.33	AREG	amphiregulin
821	0.2614	0.00394759	0.152	-2.882319	-0.438684	1626.98	CANX	calnexin
29103	0.28057	0.00436942	0.186	-2.850182	-0.531544	534.02	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15
6288	0.29077	0.00477497	0.17	-2.821835	-0.479765	2743.92	SAA1	serum amyloid A1
26574	0.29077	0.00480268	0.33	2.819979	0.929863	126.32	AATF	apoptosis antagonizing transcription factor
10150	0.29182	0.00495774	0.164	2.809767	0.460381	4542.18	MBNL2	muscleblind like splicing regulator 2
1244	0.29521	0.00521168	0.177	2.79365	0.495102	5821.21	ABCC2	ATP binding cassette subfamily C member 2
2896	0.29521	0.00529405	0.249	-2.788575	-0.695088	367.23	GRN	granulin precursor
718	0.30395	0.00559419	0.181	-2.770665	-0.500774	16816.19	C3	complement C3
5867	0.31467	0.00593994	0.436	2.751079	1.200064	51.39	RAB4A	RAB4A, member RAS oncogene family
12	0.32193	0.00622901	0.253	-2.735476	-0.691202	656.27	SERPINA3	serpin family A member 3
100528017	0.32496	0.00659428	0.177	-2.716668	-0.481554	1327.61	SAA2-SAA4	SAA2-SAA4 readthrough
6289	0.32496	0.00659428	0.177	-2.716668	-0.481554	1327.61	SAA2	serum amyloid A2
2147	0.35325	0.00733499	0.17	-2.68124	-0.45639	3307.45	F2	coagulation factor II, thrombin
2771	0.3555	0.00754951	0.165	-2.67158	-0.440658	738.94	GNAI2	G protein subunit alpha i2
728689	0.39421	0.00874368	0.343	-2.621917	-0.898795	67.45	EIF3CL	eukaryotic translation initiation factor 3 subunit C like
4089	0.39421	0.00867101	0.489	2.62476	1.284371	42.77	SMAD4	SMAD family member 4
1666	0.39463	0.00912556	0.159	-2.607314	-0.413361	1282.69	DECR1	2,4-dienoyl-CoA reductase 1
3689	0.39463	0.0089804	0.311	-2.612799	-0.813005	241.69	ITGB2	integrin subunit beta 2
1937	0.41449	0.00978028	0.245	-2.583502	-0.63381	185.09	EEF1G	eukaryotic translation elongation factor 1 gamma
8140	0.41788	0.01005763	0.405	2.573842	1.041447	73.54	SLC7A5	solute carrier family 7 member 5
5005	0.41971	0.01029956	0.142	-2.565607	-0.363436	6869.42	ORM2	orosomucoid 2
8647	0.42384	0.01106212	0.385	2.54073	0.976939	80.14	ABCB11	ATP binding cassette subfamily B member 11
79689	0.42384	0.01092113	0.829	-2.545212	-2.109409	26.61	STEAP4	STEAP4 metalloreductase
1351	0.42384	0.01140118	0.155	-2.530156	-0.390931	1001.62	COX8A	cytochrome c oxidase subunit 8A
335	0.42384	0.01131344	0.191	-2.532865	-0.484616	43576.06	APOA1	apolipoprotein A1
104326055	0.42384	0.01131344	0.191	-2.532865	-0.484616	43576.06	APOA1-AS	APOA1 antisense RNA
820	0.43927	0.01202355	0.816	2.511453	2.05048	30.97	CAMP	cathelicidin antimicrobial peptide
23463	0.44013	0.01225459	0.443	-2.504727	-1.109745	48.81	ICMT	isoprenylcysteine carboxyl methyltransferase
199675	0.44051	0.01247319	0.827	2.498467	2.067158	18.81	MCEMP1	mast cell expressed membrane protein 1
84312	0.46128	0.01327894	0.25	2.476199	0.620107	177.24	BRMS1L	BRMS1 like transcriptional repressor
4893	0.47035	0.0166614	0.321	2.394096	0.768401	151.96	NRAS	NRAS proto-oncogene, GTPase
58497	0.47035	0.01491396	0.491	-2.434462	-1.194408	50	PRUNE1	prune exopolyphosphatase 1
57730	0.47035	0.01663863	0.745	2.394597	1.783793	14.93	ANKRD36B	ankyrin repeat domain 36B
5627	0.47035	0.01686942	0.19	-2.389541	-0.454035	2935.51	PROS1	protein S
2966	0.47035	0.01433339	0.18	2.448798	0.440029	940.7	GTF2H2	general transcription factor IIH subunit 2
2661	0.47035	0.01569202	0.161	-2.416001	-0.388452	752.05	GDF9	growth differentiation factor 9
3106	0.47035	0.0167666	0.152	-2.391786	-0.364423	2644.07	HLA-B	major histocompatibility complex, class I, B
3119	0.47035	0.01661774	0.394	2.395058	0.944424	111.71	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
64928	0.47035	0.01405547	0.189	-2.455843	-0.463654	590.48	MRPL14	mitochondrial ribosomal protein L14
84833	0.47035	0.01674826	0.204	2.392188	0.489065	616.53	ATP5MK	ATP synthase membrane subunit k
1717	0.47035	0.01533937	0.301	-2.424266	-0.730726	173.48	DHCR7	7-dehydrocholesterol reductase
196513	0.47035	0.01534584	0.758	-2.424113	-1.838516	19.5	DCP1B	decapping mRNA 1B
9112	0.47035	0.0140222	0.264	2.456694	0.649395	170.87	MTA1	metastasis associated 1
7168	0.47035	0.01531493	0.242	2.424845	0.586303	456.05	TPM1	tropomyosin 1
84191	0.47035	0.01534788	0.204	2.424064	0.493685	571.3	CIAO2A	cytosolic iron-sulfur assembly component 2A
8663	0.47121	0.01712293	0.334	-2.384057	-0.795627	70.48	EIF3C	eukaryotic translation initiation factor 3 subunit C
27089	0.47836	0.01805986	0.159	-2.364388	-0.375937	768.53	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII
2022	0.47836	0.01804417	0.651	-2.36471	-1.540596	30.68	ENG	endoglin
9710	0.47836	0.01764752	0.336	2.372932	0.796166	101.42	GARRE1	granule associated Rac and RHOG effector 1
64332	0.48056	0.01836972	0.254	2.35808	0.598623	457.76	NFKBIZ	NFKB inhibitor zeta
54625	0.48142	0.02021608	0.259	2.322313	0.600505	336.35	PARP14	poly(ADP-ribose) polymerase family member 14
5437	0.48142	0.02082987	0.207	2.311054	0.479081	663.81	POLR2H	RNA polymerase II, I and III subunit H
26511	0.48142	0.02069671	0.261	2.313472	0.603999	166.58	CHIC2	cysteine rich hydrophobic domain 2
4199	0.48142	0.02034906	0.2	2.319849	0.46484	764.37	ME1	malic enzyme 1
760	0.48142	0.01968954	0.237	-2.332212	-0.552056	334.73	CA2	carbonic anhydrase 2
22827	0.48142	0.01886444	0.319	-2.348199	-0.748155	108.43	PUF60	poly(U) binding splicing factor 60
5883	0.48142	0.01953845	0.619	2.335095	1.444769	26.81	RAD9A	RAD9 checkpoint clamp component A
4193	0.48142	0.01993716	0.174	2.327528	0.404569	5752.39	MDM2	MDM2 proto-oncogene
79094	0.48142	0.01951032	0.606	2.335634	1.414488	26.64	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1
10921	0.48142	0.01910777	0.209	2.343422	0.489873	377.13	RNPS1	RNA binding protein with serine rich domain 1
10270	0.48142	0.02090179	0.239	2.309754	0.55242	252.38	AKAP8	A-kinase anchoring protein 8
150786	0.5069	0.02254526	0.453	2.281054	1.033057	65.33	RAB6D	RAB6D, member RAS oncogene family
4925	0.5069	0.02272572	0.231	-2.278014	-0.526603	212.65	NUCB2	nucleobindin 2
9761	0.5069	0.02229539	0.199	-2.285298	-0.45439	359.16	MLEC	malectin
1665	0.51391	0.02352468	0.153	2.264805	0.345856	876.6	DHX15	DEAH-box helicase 15
23161	0.51391	0.02342335	0.207	2.266458	0.469796	351.23	SNX13	sorting nexin 13
55129	0.52576	0.02431538	0.226	-2.252109	-0.507981	221.32	ANO10	anoctamin 10
84084	0.53166	0.0248394	0.452	2.243891	1.015306	65.18	RAB6C	RAB6C, member RAS oncogene family
1557	0.53304	0.02540667	0.261	2.235163	0.582658	897.43	CYP2C19	cytochrome P450 family 2 subfamily C member 19
7001	0.53304	0.02531506	0.141	-2.236561	-0.315144	3020.12	PRDX2	peroxiredoxin 2
1633	0.54395	0.02746701	0.648	2.204816	1.428021	39.37	DCK	deoxycytidine kinase
8352	0.54395	0.02732718	0.488	-2.206812	-1.07791	43.21	H3C3	H3 clustered histone 3
8357	0.54395	0.02706806	0.431	-2.210535	-0.952068	52.94	H3C10	H3 clustered histone 10
2990	0.54395	0.02725314	0.186	-2.207873	-0.410506	1602.82	GUSB	glucuronidase beta
5982	0.54395	0.02657527	0.489	-2.2177	-1.085039	41.94	RFC2	replication factor C subunit 2
54850	0.54395	0.02697662	0.39	2.211856	0.862316	58.32	FBXL12	F-box and leucine rich repeat protein 12
38	0.54459	0.02775656	0.197	-2.20071	-0.434236	2844.63	ACAT1	acetyl-CoA acetyltransferase 1
375248	0.54662	0.0281176	0.74	2.195642	1.62432	15.85	ANKRD36	ankyrin repeat domain 36
2773	0.58679	0.03073779	0.282	2.160451	0.610317	177.68	GNAI3	G protein subunit alpha i3
3157	0.58679	0.03046094	0.427	2.164044	0.923898	63.55	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1
22889	0.63092	0.03671206	0.301	2.088952	0.629678	175.25	KHDC4	KH domain containing 4, pre-mRNA splicing factor
50486	0.63092	0.03712748	0.205	-2.084359	-0.426893	525.77	G0S2	G0/G1 switch 2
6184	0.63092	0.03538676	0.161	-2.103905	-0.338716	2714.71	RPN1	ribophorin I
728340	0.63092	0.03773675	0.193	2.077703	0.400698	708.82	GTF2H2C	GTF2H2 family member C
653238	0.63092	0.0344908	0.19	2.114287	0.401557	719.1	GTF2H2B	general transcription factor IIH subunit 2B (pseudogene)
7336	0.63092	0.03338934	0.346	2.12737	0.73704	98.69	UBE2V2	ubiquitin conjugating enzyme E2 V2
51338	0.63092	0.03486825	0.371	-2.109885	-0.782942	304.76	MS4A4A	membrane spanning 4-domains A4A
144195	0.63092	0.03840924	0.515	2.07046	1.066415	66.93	SLC2A14	solute carrier family 2 member 14
3822	0.63092	0.0383497	0.464	2.071097	0.961527	44.2	KLRC2	killer cell lectin like receptor C2
7184	0.63092	0.03724557	0.146	-2.083062	-0.304173	5775.73	HSP90B1	heat shock protein 90 beta family member 1
3240	0.63092	0.03429558	0.155	-2.116579	-0.328576	4274.63	HP	haptoglobin
230	0.63092	0.03411497	0.363	-2.11871	-0.768762	130.65	ALDOC	aldolase, fructose-bisphosphate C
51599	0.63092	0.03772136	0.248	-2.07787	-0.515355	158.15	LSR	lipolysis stimulated lipoprotein receptor
5817	0.63092	0.03651967	0.181	2.091094	0.37876	751.89	PVR	PVR cell adhesion molecule
84914	0.63092	0.03649388	0.285	2.091382	0.596367	251.89	ZNF587	zinc finger protein 587
598	0.63092	0.03839998	0.178	2.070559	0.36815	1460.12	BCL2L1	BCL2 like 1
103021294	0.63092	0.03839998	0.178	2.070559	0.36815	1460.12	ABALON	apoptotic BCL2L1-antisense long non-coding RNA
7074	0.63092	0.03509578	0.421	2.107252	0.888107	60.55	TIAM1	TIAM Rac1 associated GEF 1
217	0.63276	0.03881938	0.209	-2.066096	-0.4322	8033.46	ALDH2	aldehyde dehydrogenase 2 family member
4780	0.63747	0.03940915	0.174	2.059889	0.359272	1001.36	NFE2L2	NFE2 like bZIP transcription factor 2
23530	0.64498	0.04017839	0.174	-2.05191	-0.356764	2007.78	NNT	nicotinamide nucleotide transhydrogenase
11001	0.68179	0.04280788	0.191	-2.02558	-0.386571	503.8	SLC27A2	solute carrier family 27 member 2
2769	0.68179	0.04311443	0.557	-2.0226	-1.126638	31.68	GNA15	G protein subunit alpha 15
