GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
2168	6.15e-16	5.23e-19	0.184	-8.907224	-1.641912	77932.74	FABP1	fatty acid binding protein 1
123	3.14e-10	5.34e-13	0.22	-7.216295	-1.587435	24311.26	PLIN2	perilipin 2
11001	3.87e-10	9.89e-13	0.236	-7.132051	-1.685488	915.46	SLC27A2	solute carrier family 27 member 2
3158	1.38e-09	4.69e-12	0.224	-6.914708	-1.547756	31811.92	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2
2180	7.91e-08	3.37e-10	0.206	-6.280874	-1.294783	7484.08	ACSL1	acyl-CoA synthetase long chain family member 1
1579	1.18e-07	6.02e-10	0.195	-6.189859	-1.210043	6654.83	CYP4A11	cytochrome P450 family 4 subfamily A member 11
3030	1.41e-06	8.42e-09	0.208	-5.759901	-1.200016	1402.75	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
51703	2.95e-05	2.01e-07	0.195	-5.198746	-1.014948	1560.52	ACSL5	acyl-CoA synthetase long chain family member 5
284541	1.05e-04	8.93e-07	0.243	-4.913965	-1.192441	3690.49	CYP4A22	cytochrome P450 family 4 subfamily A member 22
221357	1.05e-04	8.67e-07	0.333	4.919563	1.636844	281.51	GSTA5	glutathione S-transferase alpha 5
34	6.77e-03	6.90e-05	0.265	-3.979551	-1.053816	961.74	ACADM	acyl-CoA dehydrogenase medium chain
10397	6.77e-03	7.49e-05	0.296	-3.960073	-1.172967	1695.6	NDRG1	N-myc downstream regulated 1
57149	6.77e-03	6.96e-05	0.191	-3.977776	-0.757868	729.81	LYRM1	LYR motif containing 1
37	7.15e-03	8.52e-05	0.18	-3.929383	-0.705639	2759.03	ACADVL	acyl-CoA dehydrogenase very long chain
63924	1.09e-02	1.39e-04	0.305	-3.810122	-1.163195	494.65	CIDEC	cell death inducing DFFA like effector c
